participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_canteen_dilemma,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,8.53,Office,,6,0.40,2,,0,2,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,8.59,,,,-1.00,2,,1,3,d6g3sm3d,,,,,,0
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,8.54,,,,-1.00,2,,1,3,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,9.05,,,,0.00,2,,0,4,d6g3sm3d,,,,,,0
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,9.1,,,,0.00,2,,0,4,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,8.4,,,,0.00,2,,0,5,d6g3sm3d,,,,,,0
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,8.4,,,,0.00,2,,0,5,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,8.57,,,,0.00,2,,0,6,d6g3sm3d,,,,,,0
2,81lku6wv,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:53:02.172611+00:00,1,,,0.00,2,9.02,,,,0.00,2,,0,6,d6g3sm3d,,,,,,0
1,orlhdtrb,,0,24,90,canteen_dilemma,3,GameLost,172.16.176.137,2018-03-23 07:52:49.025887+00:00,1,,,0.00,1,9.03,,,,0.00,2,,0,7,d6g3sm3d,,,,,,0
