,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,gu97xc8e,max,A3NYGCD9P6R6JS,1,2,[],362.873833757518,4.0,0.0,0.01
1,gu97xc8e,max,A1R9CHJXBI3UZO,1,3,[2],362.873833757518,26.0,0.0,0.09
2,gu97xc8e,max,A38JDYPW8LXKPQ,1,6,[3],589.6699798559661,49.0,0.0,0.17
3,gu97xc8e,max,A2SY2N44N1RWVA,1,7,[6],181.436916878759,35.0,0.0,0.12
4,gu97xc8e,max,ASKRF26SNXMFO,1,8,[6],589.6699798559661,8.0,0.0,0.03
5,gu97xc8e,max,A3C5G8LGIAW0XL,1,9,[8],544.310750636277,7.0,0.0,0.02
6,gu97xc8e,max,A2B93NS1ZZ7QD7,1,10,[8],430.912677587052,8.0,0.0,0.03
7,gu97xc8e,max,A3MZE4FJ658B79,1,12,[8],680.388438295346,20.0,0.0,0.07
8,gu97xc8e,max,AN77N3N212OMD,1,13,[12],453.59229219689695,3.0,0.0,0.01
9,gu97xc8e,max,AK3H5QRAROFGP,1,15,[12],907.1845843937939,6.0,0.0,0.02
10,gu97xc8e,max,A1QVX30ZORPQGX,1,17,[15],1043.26227205286,6.0,0.0,0.02
11,gu97xc8e,max,AXY0D2AMLKE2A,1,18,[17],1111.3011158824002,5.0,1.0,1.02
12,gu97xc8e,max,A13KMWHXNI4C12,1,19,[18],1383.45649120054,8.0,0.0,0.03
13,gu97xc8e,max,ASW9MABLSXSPK,1,22,[19],1587.57302268914,1.0,0.0,0.0
14,gu97xc8e,max,A2SVR4FJPYHC44,1,23,[22],1814.3691687875896,4.0,0.0,0.01
15,gu97xc8e,max,A2PX1OE5N67DOP,1,24,[23],453.59229219689695,5.0,0.0,0.02
16,gu97xc8e,max,A2G5RVYFXV68BD,1,25,[23],55.0,11.0,0.0,0.04
17,gu97xc8e,max,A14294HZGND1AZ,1,26,[23],907.1845843937939,9.0,0.0,0.03
