,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,gaijydul,history,A2KLJKDG90K1PP,0,1,[],226.796146098449,11.0,0.0,0.04
1,gaijydul,history,A3ECJAL8MQKP4G,0,2,[],544.310750636277,8.0,0.0,0.03
2,gaijydul,history,A3QUBC5HTVZI19,0,3,[],1000.0,11.0,0.0,0.04
3,gaijydul,history,ACGALRGE8DDQB,0,5,[],445.427630937353,4.0,0.0,0.01
4,gaijydul,history,A1C7612TKLX3QH,0,7,[],1043.26227205286,3.0,0.0,0.01
5,gaijydul,history,A34ZJ9EZK9RGUP,0,9,[],544.310750636277,10.0,0.0,0.03
6,gaijydul,history,A1XCQA727LJVL2,0,10,[],453.59229219689695,5.0,0.0,0.02
7,gaijydul,history,A3QLRC0K1HG9E0,0,11,[],453.59229219689695,8.0,0.0,0.03
8,gaijydul,history,A2CCNSS33U3099,0,12,[],544.310750636277,12.0,0.0,0.04
9,gaijydul,history,ATL2S6JPH6RR8,0,13,[],1224.6991889316198,11.0,1.0,1.04
10,gaijydul,history,A2XTJ5OGDI5640,0,14,[],185.972839800728,4.0,0.0,0.02
11,gaijydul,history,A3P7MHT0XKHRRA,0,15,[],1742.0,3.0,0.0,0.01
12,gaijydul,history,A1IS9AN73XIVXN,0,17,[],394.62529421130097,12.0,0.0,0.04
13,gaijydul,history,A2N9QCS90MDZ4C,0,18,[],453.59229219689695,5.0,0.0,0.02
14,gaijydul,history,AZIAQJWXTSFUX,0,21,[],544.310750636277,4.0,0.0,0.01
15,gaijydul,history,AFBG390FH67SI,0,22,[],453.59229219689695,10.0,0.0,0.04
16,gaijydul,history,A2DH4G39VD8L2U,0,23,[],816.466125954415,4.0,0.0,0.01
17,gaijydul,history,A16V9BIZHTKWTH,0,24,[],420.0,9.0,0.0,0.03
18,gaijydul,history,A1MICIRPQ6X8B5,0,25,[],524.352689779613,10.0,0.0,0.03
19,gaijydul,history,A1V8HAFHS4Q5RR,0,26,[],850.0,32.0,0.0,0.11
20,gaijydul,history,A1LFOS4GL90HWU,0,28,[],1088.62150127255,11.0,0.0,0.04
21,gaijydul,history,A1GL8LTES7Z72K,0,31,[],552.475411895821,10.0,0.0,0.04
22,gaijydul,history,A2V1T6RKD06I2X,0,33,[],249.475760708293,68.0,0.0,0.23
23,gaijydul,history,A3UXYKEUWZMEGO,0,34,[],399.16121713326896,6.0,0.0,0.02
24,gaijydul,history,A16DMEHVXW2F7Y,0,35,[],908.091768978188,6.0,0.0,0.02
25,gaijydul,history,A326UXH6U3XYJO,0,38,[],680.388438295346,11.0,0.0,0.04
26,gaijydul,history,AF3HNL9IHO9IF,0,39,[],453.59229219689695,5.0,0.0,0.02
27,gaijydul,history,A2DAEM674ZDADH,0,40,[],362.873833757518,3.0,0.0,0.01
28,gaijydul,history,A3OFN28J3TREHQ,0,41,[],1542.2137934694501,8.0,0.0,0.03
29,gaijydul,history,A3GAQNTZ1V1VO,0,42,[],542.042789175292,7.0,0.0,0.03
30,gaijydul,history,A13ZNIEXIJ66U1,0,43,[],748.4272821248799,4.0,0.0,0.01
31,gaijydul,history,A19ISUEMCS9YNE,0,44,[],79.0,8.0,0.0,0.03
32,gaijydul,history,ASFPTTC55UW4B,0,45,[],560.0,4.0,0.0,0.01
33,gaijydul,history,AJ3FWK2NQAK98,0,46,[],226.796146098449,3.0,0.0,0.01
34,gaijydul,history,A1P2CL3DC1EHUA,0,48,[],523.445505195219,4.0,0.0,0.02
35,gaijydul,history,A39AF2Q55LYQOF,0,49,[],1360.77687659069,5.0,0.0,0.02
36,gaijydul,history,A1U3DBBCXKWMZC,0,50,[],544.310750636277,12.0,0.0,0.04
37,gaijydul,history,AJQJLIYJDTP4B,0,51,[],362.873833757518,10.0,0.0,0.04
38,gaijydul,history,A1VD9KG4GZKIXS,0,52,[],650.0,3.0,0.0,0.01
39,gaijydul,history,A112V6HAH568DI,0,55,[],600.0,162.0,0.0,0.54
40,gaijydul,history,A1EPVKORZQYOZ3,0,57,[],215.456338793526,6.0,0.0,0.02
41,gaijydul,history,ACED8CXVWMAPA,0,59,[],408.23306297720706,10.0,0.0,0.04
42,gaijydul,history,A1CZDE9VFJFMVK,0,60,[],1133.98073049224,5.0,1.0,1.02
43,gaijydul,history,A24H2OJ0QUK0AE,0,62,[],268.0,3.0,0.0,0.01
