participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.guess,player.is_winner,player.payoff,group.id_in_subsession,group.two_thirds_avg,group.best_guess,group.num_winners,group.high_info,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,1hex9723,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.217688+00:00,0,1,,,58.00,1,90,0,0.00,2,32.0,1,2,0,1,uj5l7u32,,,,,,0
2,nogw0iv1,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.241062+00:00,0,1,,,82.00,2,100,0,0.00,2,32.0,1,2,0,1,uj5l7u32,,,,,,0
3,t6ughy4u,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.234841+00:00,0,1,,,10.00,3,1,1,1.00,2,32.0,1,2,0,1,uj5l7u32,,,,,,0
4,wxwm5zls,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.250199+00:00,0,1,,,125.00,4,1,1,1.00,2,32.0,1,2,0,1,uj5l7u32,,,,,,0
5,llq03q1f,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.313790+00:00,0,1,,,10.00,1,14,0,0.00,3,15.33,16,1,0,1,uj5l7u32,,,,,,0
6,1k1coix8,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.328137+00:00,0,1,,,112.00,2,16,1,16.00,3,15.33,16,1,0,1,uj5l7u32,,,,,,0
7,k327pu9d,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.372170+00:00,0,1,,,63.00,3,20,0,0.00,3,15.33,16,1,0,1,uj5l7u32,,,,,,0
8,5088l69z,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.414833+00:00,0,1,,,35.00,4,42,0,0.00,3,15.33,16,1,0,1,uj5l7u32,,,,,,0
9,7h33absp,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.395045+00:00,0,1,,,72.00,1,45,0,0.00,4,25.83,25,2,0,1,uj5l7u32,,,,,,0
10,t0k68v8s,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.654534+00:00,0,1,,,256.00,2,25,1,25.00,4,25.83,25,2,0,1,uj5l7u32,,,,,,0
11,1az8rwm2,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.432733+00:00,0,1,,,174.00,3,60,0,0.00,4,25.83,25,2,0,1,uj5l7u32,,,,,,0
12,ylo9kly2,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.631262+00:00,0,1,,,58.00,4,25,1,25.00,4,25.83,25,2,0,1,uj5l7u32,,,,,,0
13,k4zc9gdc,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.674559+00:00,0,1,,,53.00,1,18,1,18.00,5,29.67,18,1,0,1,uj5l7u32,,,,,,0
14,lar0iz9i,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.826983+00:00,0,1,,,72.00,2,100,0,0.00,5,29.67,18,1,0,1,uj5l7u32,,,,,,0
15,icz6c5n7,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.925640+00:00,0,1,,,292.00,3,50,0,0.00,5,29.67,18,1,0,1,uj5l7u32,,,,,,0
16,srminqqy,,0,145,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.898154+00:00,0,1,,,187.00,4,10,0,0.00,5,29.67,18,1,0,1,uj5l7u32,,,,,,0
17,z7qwa9oy,,0,144,144,guess_two_thirds_with_regret_group_size_8,8,Debrief,10.42.223.82,2017-09-12 10:07:16.970080+00:00,0,1,,,192.00,1,40,0,0.00,6,20.83,20,2,0,1,uj5l7u32,,,,,,0
