participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.guess,player.is_winner,player.strategy_guess,player.timeout,player.payoff,group.id_in_subsession,group.two_thirds_avg,group.best_guess,group.num_winners,group.high_info,group.split,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8mxdnghg,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:46.280987+00:00,1,A2YQBBAK7NBZHU,30IQTZXKALPN8H6XQTHB2DA89WD0XJ,0.99,1,40,1,,0,0.40,2,37.67,40,1,0,1,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
2,oek8d093,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-18 13:15:46.791352+00:00,1,A1TARNH07A75CG,39JEC7537VKFYKWI2U9D9TFO2A1VC3,0.00,2,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
3,swuzcyqy,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.002644+00:00,1,A1YBZWXXW358IF,3QECW5O0KIKFM7JEIPMQU5LTD805TQ,0.54,4,29,1,,0,0.29,3,29.67,29,1,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
4,1zl672rl,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.202077+00:00,1,A2TBXASXZIRNNW,3TU5ZICBREKLH9AOZJZY1KKXVR28QH,0.25,1,50,0,,0,0.00,3,29.67,29,1,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
5,hkmmglpr,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.985319+00:00,1,A1USDMJVT10CE4,3WETL7AQWURANQLK3AGZCSHVJ9N357,1.11,2,32,0,,0,0.00,3,29.67,29,1,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
6,5rd4efo7,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:51.864135+00:00,1,A1I9ZBV75AVWUS,3Y4W8Q93L03P3C2W2Q4OTZX6NADVD3,0.38,3,41,0,,0,0.00,2,37.67,40,1,0,1,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
7,ua4cah5g,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:53.301599+00:00,1,A320BT7PLIQVZT,36H9ULYP63DDA1GYC7LVEBPX40NFJE,0.82,3,67,0,,0,0.00,3,29.67,29,1,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
8,iv8fqb77,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:55.671553+00:00,1,A2RWG1BDW949U1,3I0BTBYZAY4C8MW7VP3DLRHHB270YP,0.12,2,95,0,,0,0.00,2,37.67,40,1,0,1,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
9,h7okm8qr,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-18 13:15:56.792217+00:00,1,A1SWTHM03SN731,3KMS4QQVK398LLMGUSL7FQPAJPNFKD,0.00,9,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
10,2l6rr9v8,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:56.988447+00:00,1,AM0QVBV8L6QCJ,3SBEHTYCWOMNFHDNZFSJRVHDXWNYIH,0.28,4,50,0,,0,0.00,2,37.67,40,1,0,1,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
11,7v7pvpm2,,0,17,64,GoR_4,1,WaitForPartnersPage,172.16.176.137,2018-01-18 13:18:06.788193+00:00,1,A2PVZDPID5909B,3W92K5RLWV0UZZN3NKM5VN9EATG5V6,0.00,11,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
12,tam86qst,,0,17,64,GoR_4,1,WaitForPartnersPage,172.16.176.137,2018-01-18 13:19:19.559589+00:00,1,A16OH8XXYY0AAS,3VNL7UK1XG27O4C3O1ZZGHC622EFTJ,0.00,12,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
13,tns59rup,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.790419+00:00,1,,,0.00,13,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
14,gv8hhdxl,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.822383+00:00,1,,,0.00,14,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
15,hqv933ik,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.847234+00:00,1,,,0.00,15,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
16,xilw8118,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.871942+00:00,1,,,0.00,16,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
17,np0xgxsm,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.897169+00:00,1,,,0.00,17,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
18,imprghkh,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.921791+00:00,1,,,0.00,18,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
19,gp2ft7zd,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.946120+00:00,1,,,0.00,19,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
20,pf6h9yxh,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.970568+00:00,1,,,0.00,20,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
21,ou5epuhc,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:21.994882+00:00,1,,,0.00,21,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
22,ph1i6y54,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:22.019392+00:00,1,,,0.00,22,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
23,mxja029t,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:22.044786+00:00,1,,,0.00,23,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
24,tqjekhg7,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:21:22.068766+00:00,1,,,0.00,24,,0,,0,0.00,1,,,,0,0,1,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
1,8mxdnghg,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:46.280987+00:00,1,A2YQBBAK7NBZHU,30IQTZXKALPN8H6XQTHB2DA89WD0XJ,0.99,1,20,0,,0,0.00,2,33.83,38,1,0,1,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
2,oek8d093,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-18 13:15:46.791352+00:00,1,A1TARNH07A75CG,39JEC7537VKFYKWI2U9D9TFO2A1VC3,0.00,2,,0,,0,0.00,1,,,,0,0,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
3,swuzcyqy,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.002644+00:00,1,A1YBZWXXW358IF,3QECW5O0KIKFM7JEIPMQU5LTD805TQ,0.54,4,33,0,,0,0.00,3,25.33,32,1,0,0,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
4,1zl672rl,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.202077+00:00,1,A2TBXASXZIRNNW,3TU5ZICBREKLH9AOZJZY1KKXVR28QH,0.25,1,40,0,,0,0.00,3,25.33,32,1,0,0,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
5,hkmmglpr,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.985319+00:00,1,A1USDMJVT10CE4,3WETL7AQWURANQLK3AGZCSHVJ9N357,1.11,2,32,1,,0,0.32,3,25.33,32,1,0,0,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
6,5rd4efo7,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:51.864135+00:00,1,A1I9ZBV75AVWUS,3Y4W8Q93L03P3C2W2Q4OTZX6NADVD3,0.38,3,38,1,,0,0.38,2,33.83,38,1,0,1,2,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
